Maximum_error,thermal_zone,Date_imputed,vanishing_time,Time of maximum error,Time_for_maximum_error,Time from maximum to tolerated error
0.4026268568070463,N1AU403,2018-08-29 06:30:00,2.798611111111111,2018-08-29 17:30:00,0 days 11:00:00,2 days 08:10:00
0.3319489553325212,N1AU403,2018-09-06 06:30:00,1.125,2018-09-06 13:00:00,0 days 06:30:00,0 days 20:30:00
0.298516733211482,N1AU403,2018-09-14 06:30:00,1.4722222222222223,2018-09-14 15:40:00,0 days 09:10:00,1 days 02:10:00
0.4039849755535059,N1AU403,2018-09-22 06:40:00,1.4166666666666667,2018-09-22 14:00:00,0 days 07:20:00,1 days 02:40:00
0.2394221414108415,N1AU403,2018-09-30 06:40:00,1.6180555555555556,2018-09-30 16:00:00,0 days 09:20:00,1 days 05:30:00
0.3669498799482902,N1AU403,2018-10-08 06:40:00,1.4375,2018-10-08 09:50:00,0 days 03:10:00,1 days 07:20:00
0.297363563956317,N1AU403,2018-10-16 06:40:00,1.1875,2018-10-16 13:40:00,0 days 07:00:00,0 days 21:30:00
0.1923093831291851,N1AU403,2018-10-24 06:40:00,1.2986111111111112,2018-10-24 13:50:00,0 days 07:10:00,1 days 00:00:00
0.5161226653688686,N1AU403,2018-11-01 06:50:00,2.6875,2018-11-01 14:10:00,0 days 07:20:00,2 days 09:10:00
0.1226589307148451,N1AU403,2018-11-09 06:50:00,0.6319444444444444,2018-11-09 12:50:00,0 days 06:00:00,0 days 09:10:00
0.2170320848360702,N1AU403,2018-11-17 07:00:00,0.6319444444444444,2018-11-17 13:50:00,0 days 06:50:00,0 days 08:20:00
0.2737038415836537,N1AU403,2018-11-25 07:00:00,1.3263888888888888,2018-11-25 18:10:00,0 days 11:10:00,0 days 20:40:00
0.1949229784456037,N1AU403,2018-12-03 07:00:00,1.1388888888888888,2018-12-03 09:00:00,0 days 02:00:00,1 days 01:20:00
0.519701779121533,N1AU403,2018-12-11 07:10:00,2.25,2018-12-11 13:00:00,0 days 05:50:00,2 days 00:10:00
0.3050002022898219,N1AU403,2018-12-19 07:10:00,1.9722222222222223,2018-12-19 17:20:00,0 days 10:10:00,1 days 13:10:00
0.3163499221178796,N1AU403,2018-12-27 07:20:00,1.7291666666666663,2018-12-27 13:00:00,0 days 05:40:00,1 days 11:50:00
1.2664098060525646,N1AU404,2018-01-01 07:20:00,4.270833333333333,2018-01-01 18:00:00,0 days 10:40:00,3 days 19:50:00
0.3454367610654287,N1AU404,2018-01-09 07:20:00,0.6319444444444444,2018-01-09 08:40:00,0 days 01:20:00,0 days 13:50:00
0.3126691263585215,N1AU404,2018-01-17 07:20:00,1.6458333333333337,2018-01-17 16:10:00,0 days 08:50:00,1 days 06:40:00
0.4805410262048397,N1AU404,2018-01-25 07:20:00,1.1319444444444444,2018-01-25 14:20:00,0 days 07:00:00,0 days 20:10:00
0.2862129315504766,N1AU404,2018-02-02 07:20:00,0.9861111111111112,2018-02-02 15:40:00,0 days 08:20:00,0 days 15:20:00
0.2101407537169421,N1AU404,2018-02-10 07:20:00,0.8402777777777778,2018-02-10 17:10:00,0 days 09:50:00,0 days 10:20:00
0.0791368090429642,N1AU404,2018-02-18 07:10:00,0.6319444444444444,2018-02-18 17:30:00,0 days 10:20:00,0 days 04:50:00
0.2988529212624407,N1AU404,2018-02-26 07:10:00,1.4236111111111112,2018-02-26 17:50:00,0 days 10:40:00,0 days 23:30:00
0.0314045420380395,N1AU404,2018-03-06 07:00:00,0.6319444444444444,2018-03-06 17:50:00,0 days 10:50:00,0 days 04:20:00
0.0834601076308629,N1AU404,2018-03-14 07:00:00,0.6388888888888888,2018-03-14 11:00:00,0 days 04:00:00,0 days 11:20:00
0.2655113809732583,N1AU404,2018-03-22 06:50:00,1.8263888888888888,2018-03-22 16:30:00,0 days 09:40:00,1 days 10:10:00
0.0688149347611215,N1AU404,2018-03-30 06:40:00,0.6319444444444444,2018-03-30 11:30:00,0 days 04:50:00,0 days 10:20:00
0.2536621257246594,N1AU404,2018-04-07 06:40:00,0.6319444444444444,2018-04-07 16:20:00,0 days 09:40:00,0 days 05:30:00
